1       0       16   
2       16      73   
3       89      157  
4       246     259  
5       505     377  
6       882     509  
7       1391    654  
8       2045    811  
9       2856    978  
10      3834    1155 
11      4989    1343 
12      6332    1538 
13      7870    1744 
14      9614    1956 
15      11570   2178 
16      13748   2408 
17      16156   2644 
18      18800   2887 
19      21687   3139 
20      24826   3397 
21      28223   3661 
22      31884   3932 
23      35816   4210 
24      40026   4494 
25      44520   4783 
26      49303   5080 
27      54383   5380 
28      59763   5689 
29      65452   6001 
30      71453   6320 
31      77773   6644 
32      84417   6973 
33      91390   7309 
34      98699   7648 
35      106347  7992 
36      114339  8343 
37      122682  8698 
38      131380  9058 
39      140438  9423 
40      149861  9792 
41      159653  10166
42      169819  10545
43      180364  10928
44      191292  11317
45      202609  11708
46      214317  12106
47      226423  12507
48      238930  12913
49      251843  13322
50      265165  13737
51      278902  14155
52      293057  14577
53      307634  15004
54      322638  15435
55      338073  15870
56      353943  16308
57      370251  16751
58      387002  17198
59      404200  17648
60      421848  18103
61      439951  18561
62      458512  19023
63      477535  19489
64      497024  19959
65      516983  20432
66      537415  20908
67      558323  21390
68      579713  21874
69      601587  22362
70      623949  22853
71      646802  23348
72      670150  23847
73      693997  24348
74      718345  24854
75      743199  25364
76      768563  25875
77      794438  26391
78      820829  26911
79      847740  27433
80      875173  27959
81      903132  28488
82      931620  29020
83      960640  29556
84      990196  30096
85      1020292 30637
86      1050929 31183
87      1082112 31732
88      1113844 32283
89      1146127 32838
90      1178965 33397
91      1212362 33958
92      1246320 34522
93      1280842 35090
94      1315932 35660
95      1351592 36234
96      1387826 36811
97      1424637 37390
98      1462027 37973
99      1500000 --
