1       0       11  
2       11      48
3       59      105
4       164     173
5       337     251 
6       588     339
7       927     437
8       1364    540
9       1904    652
10      2556    770
11      3326    895
12      4221    1026
13      5247    1162
14      6409    1305
15      7714    1452
16      9166    1604
17      10770   1763
18      12533   1925
19      14458   2093
20      16551   2264
21      18815   2441
22      21256   2622
23      23878   2806
24      26684   2996
25      29680   3189
26      32869   3386
27      36255   3587
28      39842   3792
29      43634   4001
30      47635   4214
31      51849   4429
32      56278   4649
33      60927   4872
34      65799   5099
35      70898   5328
36      76226   5562
37      81788   5799
38      87587   6038
39      93625   6282
40      99907   6528
41      106435  6778
42      113213  7030
43      120243  7285
44      127528  7544
45      135072  7806
46      142878  8071
47      150949  8338
48      159287  8608
49      167895  8882
50      176777  9157
51      185934  9437
52      195371  9718
53      205089  10003
54      215092  10290
55      225382  10580
56      235962  10872
57      246834  11167
58      258001  11466
59      269467  11765
60      281232  12069
61      293301  12374
62      305675  12682
63      318357  12992
64      331349  13306
65      344655  13621
66      358276  13940
67      372216  14259
68      386475  14583
69      401058  14908
70      415966  15235
71      431201  15566
72      446767  15897
73      462664  16233
74      478897  16569
75      495466  16909
76      512375  17250
77      529625  17595
78      547220  17940
79      565160  18289
80      583449  18639
81      602088  18992
82      621080  19347
83      640427  19704
84      660131  20063
85      680194  20425
86      700619  20789
87      721408  21154
88      742562  21523
89      764085  21892
90      785977  22264
91      808241  22639
92      830880  23015
93      853895  23393
94      877288  23774
95      901062  24155
96      925217  24541
97      949758  24927
98      974685  25315
99      1000000 --

