1       0       42
2       42      196
3       238     418
4       656     690
5       1346    1006
6       2352    1358
7       3710    1744
8       5454    2162
9       7616    2608
10      10224   3080
11      13304   3580
12      16884   4103
13      20987   4649
14      25636   5218
15      30854   5809
16      36663   6419
17      43082   7050
18      50132   7701
19      57833   8370
20      66203   9058
21      75261   9763
22      85024   10487
23      95511   11226
24      106737  11983
25      118720  12755
26      131475  13545
27      145020  14349
28      159369  15169
29      174538  16004
30      190542  16853
31      207395  17717
32      225112  18596
33      243708  19488
34      263196  20395
35      283591  21314
36      304905  22248
37      327153  23195
38      350348  24154
39      374502  25126
40      399628  26112
41      425740  27110
42      452850  28120
43      480970  29142
44      510112  30177
45      540289  31224
46      571513  32282
47      603795  33352
48      637147  34433
49      671580  35527
50      707107  36631
51      743738  37746
52      781484  38874
53      820358  40010
54      860368  41160
55      901528  42319
56      943847  43489
57      987336  44669
58      1032005 45861
59      1077866 47062
60      1124928 48274
61      1173202 49497
62      1222699 50728
63      1273427 51971
64      1325398 53223
65      1378621 54485
66      1433106 55757
67      1488863 57038
68      1545901 58331
69      1604232 59631
70      1663863 60942
71      1724805 62261
72      1787066 63591
73      1850657 64930
74      1915587 66278
75      1981865 67635
76      2049500 69002
77      2118502 70376
78      2188878 71761
79      2260639 73155
80      2333794 74557
81      2408351 75968
82      2484319 77388
83      2561707 78816
84      2640523 80254
85      2720777 81700
86      2802477 83155
87      2885632 84618
88      2970250 86089
89      3056339 87569
90      3143908 89058
91      3232966 90554
92      3323520 92059
93      3415579 93573
94      3509152 95094
95      3604246 96624
96      3700870 98161
97      3799031 99708
98      3898739 101261
99      4000000 --
