1       0       53      
2       53      244     
3       297     523     
4       820     863     
5       1683    1257    
6       2940    1697    
7       4637    2181    
8       6818    2702    
9       9520    3259    
10      12779   3851    
11      16630   4475    
12      21105   5129    
13      26234   5811    
14      32045   6523    
15      38568   7260    
16      45828   8024    
17      53852   8813    
18      62665   9626    
19      72291   10463   
20      82754   11322   
21      94076   12204   
22      106280  13108   
23      119388  14033   
24      133421  14979   
25      148400  15944   
26      164344  16931   
27      181275  17936   
28      199211  18961   
29      218172  20005   
30      238177  21067   
31      259244  22146   
32      281390  23245   
33      304635  24360   
34      328995  25493   
35      354488  26644   
36      381132  27809   
37      408941  28993   
38      437934  30193   
39      468127  31408   
40      499535  32640   
41      532175  33888   
42      566063  35150   
43      601213  36428   
44      637641  37721   
45      675362  39029   
46      714391  40353   
47      754744  41689   
48      796433  43042   
49      839475  44408   
50      883883  45789   
51      929672  47183   
52      976855  48592   
53      1025447 50014   
54      1075461 51449   
55      1126910 52899   
56      1179809 54361   
57      1234170 55837   
58      1290007 57326   
59      1347333 58827   
60      1406160 60343   
61      1466503 61870   
62      1528373 63411   
63      1591784 64963   
64      1656747 66529   
65      1723276 68106   
66      1791382 69696   
67      1861078 71299
68      1932377 72913
69      2005290 74539
70      2079829 76177
71      2156006 77827
72      2233833 79489
73      2313322 81162
74      2394484 82847
75      2477331 84544
76      2561875 86252
77      2648127 87971
78      2736098 89701
79      2825799 91444
80      2917243 93196
81      3010439 94960
82      3105399 96735
83      3202134 98520
84      3300654 100318
85      3400972 102125
86      3503097 103943
87      3607040 105772
88      3712812 107611
89      3820423 109462
90      3929885 111322
91      4041207 113193
92      4154400 115074
93      4269474 116966
94      4386440 118868
95      4505308 120779
96      4626087 122702
97      4748789 124634
98      4873423 126577
99      5000000 --
