1       0       26
2       26      123
3       149     261
4       410     431
5       841     629
6       1470    849
7       2319    1090
8       3409    1351
9       4760    1630
10      6390    1925
11      8315    2238
12      10553   2564
13      13117   2906
14      16023   3261
15      19284   3630
16      22914   4012
17      26926   4407
18      31333   4813
19      36146   5231
20      41377   5661
21      47038   6102
22      53140   6554
23      59694   7017
24      66711   7489
25      74200   7972
26      82172   8466
27      90638   8968
28      99606   9480
29      109086  10002  
30      119088  10534  
31      129622  11073  
32      140695  11622  
33      152317  12181  
34      164498  12746  
35      177244  13322  
36      190566  13905  
37      204471  14496  
38      218967  15097  
39      234064  15704  
40      249768  16320  
41      266088  16943  
42      283031  17575  
43      300606  18214  
44      318820  18861  
45      337681  19515  
46      357196  20176  
47      377372  20845  
48      398217  21521  
49      419738  22204  
50      441942  22894  
51      464836  23592  
52      488428  24295  
53      512723  25007  
54      537730  25725  
55      563455  26449  
56      589904  27181  
57      617085  27918  
58      645003  28663  
59      673666  29414  
60      703080  30171  
61      733251  30936  
62      764187  31705  
63      795892  32481  
64      828373  33265  
65      861638  34053  
66      895691  34848  
67      930539  35649
68      966188  36457
69      1002645 37269
70      1039914 38089
71      1078003 38913
72      1116916 39745
73      1156661 40581
74      1197242 41424
75      1238666 42272
76      1280938 43125
77      1324063 43986
78      1368049 44851
79      1412900 45721
80      1458621 46598
81      1505219 47480
82      1552699 48368
83      1601067 49260
84      1650327 50159
85      1700486 51062
86      1751548 51972
87      1803520 52886
88      1856406 53806
89      1910212 54730
90      1964942 55661
91      2020603 56597
92      2077200 57537
93      2134737 58483
94      2193220 59434
95      2252654 60390
96      2313044 61351
97      2374395 62317
98      2436712 63288
99      2500000 --
